Outcome,TauB,Parameter set,R_init,Mean-field assumption,Compliance,  Scenario,Scenario.lab,value.lo,value,value.hi
Disease incidence increase,small,Warwick,0.8,Household,Compliance,C3,C3: Increased community transmission,NaN,NaN,NaN
Disease incidence increase,small,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,NaN,NaN
Disease incidence increase,small,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,NaN,NaN
Disease incidence increase,small,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,NaN,NaN
Disease incidence increase,small,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,NaN,NaN
Disease incidence increase,small,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,NaN,NaN
Disease incidence increase,small,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,NaN,NaN,NaN
Disease incidence increase,half,Warwick,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Disease incidence increase,half,Warwick,0.8,Household,Compliance,  C2,C2: unclustered contacts,NaN,15.51579465,NaN
Disease incidence increase,half,Warwick,0.8,Household,Compliance,C3,C3: Increased community transmission,NaN,35.26721099,NaN
Disease incidence increase,half,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,1.251435196,NaN
Disease incidence increase,half,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,1.30973302,NaN
Disease incidence increase,half,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,1.929087918,NaN
Disease incidence increase,half,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,4.72259048,NaN
Disease incidence increase,half,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,2.268715603,NaN
Disease incidence increase,half,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,NaN,11.29036421,NaN
Disease incidence increase,identical,Warwick,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Disease incidence increase,identical,Warwick,0.8,Household,Compliance,  C2,C2: unclustered contacts,NaN,NaN,NaN
Disease incidence increase,identical,Warwick,0.8,Household,Compliance,C3,C3: Increased community transmission,NaN,NaN,NaN
Disease incidence increase,identical,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,NaN,NaN
Disease incidence increase,identical,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,NaN,NaN
Disease incidence increase,identical,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,NaN,NaN
Disease incidence increase,identical,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,NaN,NaN
Disease incidence increase,identical,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,NaN,NaN
Disease incidence increase,identical,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,NaN,NaN,NaN
Disease incidence increase,half,LSHTM,0.8,Individual,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Disease incidence increase,half,LSHTM,0.8,Individual,Compliance,  C2,C2: unclustered contacts,NaN,9.884014406,NaN
Disease incidence increase,half,LSHTM,0.8,Individual,Compliance,C3,C3: Increased community transmission,NaN,12.06703288,NaN
Disease incidence increase,half,LSHTM,0.8,Individual,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,1.853406314,NaN
Disease incidence increase,half,LSHTM,0.8,Individual,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,2.569589649,NaN
Disease incidence increase,half,LSHTM,0.8,Individual,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,1.113334525,NaN
Disease incidence increase,half,LSHTM,0.8,Individual,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,2.568232521,NaN
Disease incidence increase,half,LSHTM,0.8,Individual,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,2.233724461,NaN
Disease incidence increase,half,LSHTM,0.8,Individual,Compliance,6,9: All households\npair up randomly,NaN,6.859740121,NaN
Disease incidence increase,half,LSHTM,0.8,Household,Non-compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Disease incidence increase,half,LSHTM,0.8,Household,Non-compliance,  C2,C2: unclustered contacts,NaN,0,NaN
Disease incidence increase,half,LSHTM,0.8,Household,Non-compliance,C3,C3: Increased community transmission,NaN,0,NaN
Disease incidence increase,half,LSHTM,0.8,Household,Non-compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,2.034580105,NaN
Disease incidence increase,half,LSHTM,0.8,Household,Non-compliance,2,3: Households with\nchildren of any age\n pair up,NaN,3.06742907,NaN
Disease incidence increase,half,LSHTM,0.8,Household,Non-compliance,3,4: Single occupancy\nhouseholds pair up,NaN,2.04423343,NaN
Disease incidence increase,half,LSHTM,0.8,Household,Non-compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,7.302147334,NaN
Disease incidence increase,half,LSHTM,0.8,Household,Non-compliance,5,8: Scenarios 1 and 3\ncombined,NaN,3.751438876,NaN
Disease incidence increase,half,LSHTM,0.8,Household,Non-compliance,6,9: All households\npair up randomly,NaN,19.14477331,NaN
