Outcome,TauB,Parameter set,R_init,Mean-field assumption,Compliance,  Scenario,Scenario.lab,value.lo,value,value.hi,Test,Test,Test,,,
Net Reproduction Number,half,LSHTM,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,0.8391056959,0.9046329075,1.0125140602,0.0188414409,0.012882207,0.0106829008,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Compliance,6,9: All households\npair up randomly,0.9528450207,1.113531952,1.3388259036,0.0098542388,0.0098976525,0.0054349151,TRUE,TRUE,TRUE
Net Reproduction Number,identical,LSHTM,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,0.8,0.8,0.8,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,identical,LSHTM,0.8,Household,Compliance,  C2,C2: unclustered contacts,1.0659246696,1.4167251536,2.2372966678,0.0096075835,0.012545463,0.0085121596,TRUE,TRUE,TRUE
Net Reproduction Number,identical,LSHTM,0.8,Household,Compliance,C3,C3: Increased community transmission,1.0890754908,1.4987287106,2.9442056034,0.0119621521,0.0191838476,0.0586695494,TRUE,TRUE,FALSE
Net Reproduction Number,identical,LSHTM,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,0.8422121062,0.9174706583,1.0123694365,0.0169579996,0.0138426191,0.0133678484,TRUE,TRUE,TRUE
Net Reproduction Number,identical,LSHTM,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,0.8836465115,0.9844379765,1.1241749409,0.015639109,0.0152617361,0.0123624544,TRUE,TRUE,TRUE
Net Reproduction Number,identical,LSHTM,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,0.8562940319,0.8853727316,0.9033153369,0.0108236918,0.0146640407,0.0275681311,TRUE,TRUE,TRUE
Net Reproduction Number,identical,LSHTM,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,0.9906345859,1.1157272908,1.2117362181,0.0145825048,0.0062986784,0.0063661729,TRUE,TRUE,TRUE
Net Reproduction Number,identical,LSHTM,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,0.9011523668,0.9928418402,1.0979647923,0.0196616055,0.012567157,0.0102565387,TRUE,TRUE,TRUE
Net Reproduction Number,identical,LSHTM,0.8,Household,Compliance,6,9: All households\npair up randomly,1.0888937951,1.3151711607,1.5250799119,0.0122889932,0.009818712,0.0098561601,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.7,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,0.7,0.7,0.7,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.7,Household,Compliance,  C2,C2: unclustered contacts,0,1.0350515442,0,0,0.0141014303,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.7,Household,Compliance,C3,C3: Increased community transmission,0,1.053428168,0,0,0.0139108508,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.7,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,0,0.7495498307,0,0,0.034052066,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.7,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,0,0.7922232947,0,0,0.0186438654,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.7,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,0,0.7449302131,0,0,0.0178287587,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.7,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,0,0.8753645067,0,0,0.0174149501,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.7,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,0,0.7836911248,0,0,0.0144657471,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.7,Household,Compliance,6,9: All households\npair up randomly,0,0.9913528215,0,0,0.0078442945,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.9,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,0.7,0.7,0.7,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.9,Household,Compliance,  C2,C2: unclustered contacts,0,1.2522165746,0,0,0.0109925711,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.9,Household,Compliance,C3,C3: Increased community transmission,0,1.2567738157,0,0,0.0129864613,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.9,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,0,0.9640480985,0,0,0.0111354207,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.9,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,0,1.0048138708,0,0,0.0088330212,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.9,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,0,0.9649837641,0,0,0.0120340627,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.9,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,0,1.1169829567,0,0,0.0102163259,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.9,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,0,1.0158090269,0,0,0.0140791519,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.9,Household,Compliance,6,9: All households\npair up randomly,0,1.2419958009,0,0,0.008287173,0,TRUE,TRUE,TRUE
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,0.8,0.8,0.8,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,  C2,C2: unclustered contacts,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,C3,C3: Increased community transmission,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,0.8,0.8,0.8,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,  C2,C2: unclustered contacts,0,1.2761386418,0,0,0.0117213082,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,C3,C3: Increased community transmission,0,1.508903413,0,0,0.0225505648,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,0,0.8317382637,0,0,0.0177347441,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,0,0.8444969696,0,0,0.034751624,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,0,0.8919159517,0,0,0.0214713142,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,0,1.0314627246,0,0,0.0126765434,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,0,0.9159012557,0,0,0.0249866797,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,0,1.1830981594,0,0,0.0133892312,0,TRUE,TRUE,TRUE
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,0.8,0.8,0.8,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,  C2,C2: unclustered contacts,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,C3,C3: Increased community transmission,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,0.8,0.8,0.8,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,  C2,C2: unclustered contacts,0,1.1389835516,0,0,0.0131810019,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,C3,C3: Increased community transmission,0,1.1918646112,0,0,0.0099360105,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,1,1: Households with\nprimary school age\nchildren pair up,0,0.8839988658,0,0,0.0094620126,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,2,3: Households with\nchildren of any age\n pair up,0,0.9398621765,0,0,0.0119914375,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,3,4: Single occupancy\nhouseholds pair up,0,0.807932129,0,0,0.0273659702,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,0,0.9060988373,0,0,0.0151233232,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,5,8: Scenarios 1 and 3\ncombined,0,0.9045809741,0,0,0.0156137619,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,6,9: All households\npair up randomly,0,1.0608242329,0,0,0.0130028551,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,0.8,0.8,0.8,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,  C2,C2: unclustered contacts,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,C3,C3: Increased community transmission,0,0,0,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,1,1: Households with\nprimary school age\nchildren pair up,0,0.9137761016,0,0,0.0166405968,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,2,3: Households with\nchildren of any age\n pair up,0,0.9799948234,0,0,0.0124688086,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,3,4: Single occupancy\nhouseholds pair up,0,0.8891184794,0,0,0.0202820646,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,0,1.1187807943,0,0,0.0121028695,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,5,8: Scenarios 1 and 3\ncombined,0,0.9896016852,0,0,0.0144108665,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,6,9: All households\npair up randomly,0,1.3227775153,0,0,0.0130767919,0,TRUE,TRUE,TRUE
