Outcome,TauB,Parameter set,R_init,Mean-field assumption,Compliance,  Scenario,Scenario.lab,value.lo,value,value.hi
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,  C2,C2: Comparator 2\n36 percent increase\n their random contacts,NaN,NaN,NaN
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,NaN,NaN
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,NaN,NaN
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,NaN,NaN
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,NaN,NaN
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,NaN,NaN
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,NaN,NaN,NaN
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,  C2,C2: Comparator 2\n36 percent increase\n their random contacts,NaN,11.0631213745,NaN
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,1.1852850592,NaN
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,1.4107323857,NaN
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,2.0526107835,NaN
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,4.7809823079,NaN
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,2.4001704125,NaN
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,NaN,11.4357559993,NaN
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,  C2,C2: Comparator 2\n36 percent increase\n their random contacts,NaN,NaN,NaN
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,NaN,NaN
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,NaN,NaN
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,NaN,NaN
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,NaN,NaN
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,NaN,NaN
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,NaN,NaN,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,  C2,C2: Comparator 2\n36 percent increase\n their random contacts,NaN,6.5450600008,0
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,1.6475687006,0
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,2.2101958643,0
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,1.2160114632,0
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,2.3091930095,0
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,2.0051206451,0
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,6,9: All households\npair up randomly,NaN,6.1670273534,0
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,NaN,NaN,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,  C2,C2: Comparator 2\n36 percent increase\n their random contacts,NaN,NaN,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,2.0924258621,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,2,3: Households with\nchildren of any age\n pair up,NaN,3.0251158656,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,3,4: Single occupancy\nhouseholds pair up,NaN,1.9132601662,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,NaN,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,5,8: Scenarios 1 and 3\ncombined,NaN,2.5173956108,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,6,9: All households\npair up randomly,NaN,"  19.484617518859331
",NaN
