Outcome,TauB,Parameter set,R_init,Mean-field assumption,Compliance,  Scenario,Scenario.lab,value.lo,value,value.hi
Fatality Incidence Increase,half,LSHTM,0.7,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,1.532695095,NaN
Fatality Incidence Increase,half,LSHTM,0.7,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,3.867286911,NaN
Fatality Incidence Increase,half,LSHTM,0.7,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,2.301110334,NaN
Fatality Incidence Increase,half,LSHTM,0.7,Household,Compliance,6,9: All households\npair up randomly,NaN,8.678103196,NaN
Fatality Incidence Increase,half,LSHTM,0.9,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Fatality Incidence Increase,half,LSHTM,0.9,Household,Compliance,  C2,C2: unclustered contacts,NaN,5.363746943,NaN
Fatality Incidence Increase,half,LSHTM,0.9,Household,Compliance,C3,C3: Increased community transmission,,7.216599118,
Fatality Incidence Increase,half,LSHTM,0.9,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,1.40868409,NaN
Fatality Incidence Increase,half,LSHTM,0.9,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,1.814180727,NaN
Fatality Incidence Increase,half,LSHTM,0.9,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,1.487234039,NaN
Fatality Incidence Increase,half,LSHTM,0.9,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,3.474916477,NaN
Fatality Incidence Increase,half,LSHTM,0.9,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,2.067609762,NaN
Fatality Incidence Increase,half,LSHTM,0.9,Household,Compliance,6,9: All households\npair up randomly,NaN,6.756529347,NaN
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,  C2,C2: unclustered contacts,NaN,NaN,NaN
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,C3,C3: Increased community transmission,,,
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,NaN,NaN
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,NaN,NaN
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,NaN,NaN
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,NaN,NaN
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,NaN,NaN
Fatality Incidence Increase,small,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,NaN,NaN,NaN
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,  C2,C2: unclustered contacts,NaN,11.06312137,NaN
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,C3,C3: Increased community transmission,,34.80738019,
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,1.185285059,NaN
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,1.410732386,NaN
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,2.052610784,NaN
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,4.780982308,NaN
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,2.400170413,NaN
Fatality Incidence Increase,half,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,NaN,11.435756,NaN
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,  C2,C2: unclustered contacts,NaN,NaN,NaN
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,C3,C3: Increased community transmission,,,
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,NaN,NaN
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,NaN,NaN
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,NaN,NaN
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,NaN,NaN
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,NaN,NaN
Fatality Incidence Increase,identical,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,NaN,NaN,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,  C2,C2: unclustered contacts,NaN,6.545060001,0
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,C3,C3: Increased community transmission,,11.17716285,
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,1.647568701,0
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,2.210195864,0
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,1.216011463,0
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,2.30919301,0
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,2.005120645,0
Fatality Incidence Increase,half,LSHTM,0.8,Individual,Compliance,6,9: All households\npair up randomly,NaN,6.167027353,0
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,NaN,NaN,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,  C2,C2: unclustered contacts,NaN,NaN,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,C3,C3: Increased community transmission,,,
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,2.092425862,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,2,3: Households with\nchildren of any age\n pair up,NaN,3.025115866,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,3,4: Single occupancy\nhouseholds pair up,NaN,1.913260166,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,NaN,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,5,8: Scenarios 1 and 3\ncombined,NaN,2.517395611,NaN
Fatality Incidence Increase,half,LSHTM,0.8,Household,Non-compliance,6,9: All households\npair up randomly,NaN,"  19.484617518859331
",NaN
