Outcome,TauB,Parameter set,R_init,Mean-field assumption,Compliance,  Scenario,Scenario.lab,value.lo,value,value.hi
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,NaN,NaN
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,NaN,NaN
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,NaN,NaN
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,NaN,NaN
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,NaN,NaN
Net Reproduction Number,small,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,NaN,NaN,NaN
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,  C2,C2: unclustered contacts,NaN,15.5157946489,NaN
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,C3,C3: Increased community transmission,NaN,35.2672109851,NaN
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,1.2514351959,NaN
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,1.3097330198,NaN
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,1.9290879175,NaN
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,4.974781761,NaN
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,2.2687156033,NaN
Net Reproduction Number,half,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,NaN,11.2903642135,NaN
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,  C2,C2: unclustered contacts,NaN,NaN,NaN
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,C3,C3: Increased community transmission,NaN,NaN,NaN
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,NaN,NaN
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,NaN,NaN
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,NaN,NaN
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,NaN,NaN
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,NaN,NaN
Net Reproduction Number,identical,Warwick,0.8,Household,Compliance,6,9: All households\npair up randomly,NaN,NaN,NaN
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,  C2,C2: unclustered contacts,NaN,9.8840144059,NaN
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,C3,C3: Increased community transmission,NaN,12.0670328784,NaN
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,1.8534063141,NaN
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,2,3: Households with\nchildren of any age\n pair up,NaN,2.5695896492,NaN
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,3,4: Single occupancy\nhouseholds pair up,NaN,1.1133345245,NaN
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,2.5327183951,NaN
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,5,8: Scenarios 1 and 3\ncombined,NaN,2.2337244609,NaN
Net Reproduction Number,half,LSHTM,0.8,Individual,Compliance,6,9: All households\npair up randomly,NaN,6.8597401213,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,  C2,C2: unclustered contacts,NaN,0,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,C3,C3: Increased community transmission,NaN,0,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,1,1: Households with\nprimary school age\nchildren pair up,NaN,2.0345801046,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,2,3: Households with\nchildren of any age\n pair up,NaN,3.0674290701,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,3,4: Single occupancy\nhouseholds pair up,NaN,2.04423343,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,6.9280604098,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,5,8: Scenarios 1 and 3\ncombined,NaN,3.7514388758,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Non-compliance,6,9: All households\npair up randomly,NaN,19.1447733096,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Excluding Elderly,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,1,1,1
Net Reproduction Number,half,LSHTM,0.8,Household,Excluding Elderly,  C2,C2: unclustered contacts,NaN,0,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Excluding Elderly,C3,C3: Increased community transmission,NaN,0,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Excluding Elderly,1,1: Households with\nprimary school age\nchildren pair up,NaN,1.4744891881,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Excluding Elderly,2,3: Households with\nchildren of any age\n pair up,NaN,1.8909435831,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Excluding Elderly,3,4: Single occupancy\nhouseholds pair up,NaN,1.2485205045,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Excluding Elderly,4,5: Single occupancy\nhouseholds pair up\nwith random household,NaN,2.5114610912,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Excluding Elderly,5,8: Scenarios 1 and 3\ncombined,NaN,1.8422555271,NaN
Net Reproduction Number,half,LSHTM,0.8,Household,Excluding Elderly,6,9: All households\npair up randomly,NaN,5.0296192372,NaN
